deviceid,lat,lng,mapid,scale,start,end,duration
100,0.218221698438196,-0.261957987623936,actlab,27,1492593146305,1492593179948,33643
100,0.179962464294125,-0.249931109363225,actlab,27,1492593179948,1492593219054,39106
100,0.214704543184061,-0.234805200759362,actlab,27,1492593219054,1492593231910,12856
100,0.172653463920374,-0.240319308781502,actlab,27,1492593231910,1492593250855,18945
100,0.211082608743915,-0.249506570147723,actlab,27,1492593250855,1492593276873,26018
100,0.160358947299075,-0.13656817390659,actlab,27,1492593276873,1492593277450,577
100,0.138549941340096,-0.103554351775996,actlab,27,1492593277450,1492593279283,1833
100,0.107654711766867,-0.137416573097849,actlab,27,1492593279283,1492593280505,1222
100,0.124738182150063,-0.180507919695998,actlab,27,1492593280505,1492593282959,2454
100,0.160049160802173,-0.220972506346545,actlab,27,1492593282959,1492593285400,2441
100,0.206830906370145,-0.231605405189786,actlab,27,1492593285400,1492593378425,93025
100,0.172582795511933,-0.212440013664521,actlab,27,1492593378425,1492593407408,28983
100,0.212941683537293,-0.212281253669637,actlab,27,1492593407408,1492593484333,76925
100,0.168399493586134,-0.228289355102631,actlab,27,1492593484333,1492593492019,7686
100,0.200623567606149,-0.201950746843874,actlab,27,1492593492019,1492593552411,60392
100,0.17556855432718,-0.230961241395569,actlab,27,1492593552411,1492593574917,22506
100,0.200313419052726,-0.19962622411687,actlab,27,1492593574917,1492593584982,10065
100,0.196853091833523,-0.2383576067029,actlab,27,1492593584982,1492593651865,66883
100,0.232763522185796,-0.225965079471855,actlab,27,1492593651865,1492593679073,27208
100,0.194212067226794,-0.220805097743281,actlab,27,1492593679073,1492593752485,73412
100,0.230893077968204,-0.231661625904104,actlab,27,1492593752485,1492593767289,14804
100,0.195393053616806,-0.221049250966418,actlab,27,1492593767289,1492593793897,26608
100,0.234961042081143,-0.232359236642845,actlab,27,1492593793897,1492593800989,7092
100,0.201525066931757,-0.214856053928469,actlab,27,1492593800989,1492593810437,9448
100,0.230198479686603,-0.238857630736465,actlab,27,1492593810437,1492593831131,20694
100,0.195549997699334,-0.224062794620114,actlab,27,1492593831131,1492593858903,27772
